strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification,residence
Male,age_category10,20.4,20.1,20.7,Grouped,"[18,30)","20.4 (20.1, 20.7)",198903,sex,Urban
Male,age_category10,17.1,16.8,17.3,Grouped,"[30,40)","17.1 (16.8, 17.3)",198903,sex,Urban
Male,age_category10,22.6,22.3,22.9,Grouped,"[40,50)","22.6 (22.3, 22.9)",198903,sex,Urban
Male,age_category10,16,15.8,16.3,Grouped,"[50,60)","16 (15.8, 16.3)",198903,sex,Urban
Male,age_category10,14.6,14.3,14.9,Grouped,"[60,70)","14.6 (14.3, 14.9)",198903,sex,Urban
Male,age_category10,7.4,7.2,7.6,Grouped,"[70,80)","7.4 (7.2, 7.6)",198903,sex,Urban
Male,age_category10,1.9,1.8,2,Grouped,"[80,100]","1.9 (1.8, 2)",198903,sex,Urban
Female,age_category5,4.8,4.7,4.8,Grouped,"[15,20)","4.8 (4.7, 4.8)",670881,sex,Rural
Female,age_category5,11.5,11.4,11.7,Grouped,"[20,25)","11.5 (11.4, 11.7)",670881,sex,Rural
Female,age_category5,13.6,13.5,13.8,Grouped,"[25,30)","13.6 (13.5, 13.8)",670881,sex,Rural
Female,age_category5,14.2,14.1,14.4,Grouped,"[30,35)","14.2 (14.1, 14.4)",670881,sex,Rural
Female,age_category5,16.3,16.1,16.4,Grouped,"[35,40)","16.3 (16.1, 16.4)",670881,sex,Rural
Female,age_category5,8,7.9,8.1,Grouped,"[40,45)","8 (7.9, 8.1)",670881,sex,Rural
Female,age_category5,8,7.9,8.1,Grouped,"[45,50)","8 (7.9, 8.1)",670881,sex,Rural
Female,age_category5,5.9,5.8,6,Grouped,"[50,55)","5.9 (5.8, 6)",670881,sex,Rural
Female,age_category5,5.8,5.7,5.8,Grouped,"[55,60)","5.8 (5.7, 5.8)",670881,sex,Rural
Female,age_category5,5.2,5.1,5.2,Grouped,"[60,65)","5.2 (5.1, 5.2)",670881,sex,Rural
Female,age_category5,3,2.9,3.1,Grouped,"[65,70)","3 (2.9, 3.1)",670881,sex,Rural
Female,age_category5,1.8,1.8,1.8,Grouped,"[70,75)","1.8 (1.8, 1.8)",670881,sex,Rural
Female,age_category5,0.9,0.9,0.9,Grouped,"[75,80)","0.9 (0.9, 0.9)",670881,sex,Rural
Female,age_category5,0.6,0.6,0.6,Grouped,"[80,85)","0.6 (0.6, 0.6)",670881,sex,Rural
Female,age_category5,0.3,0.2,0.3,Grouped,"[85,90)","0.3 (0.2, 0.3)",670881,sex,Rural
Female,age_category5,0.1,0.1,0.1,Grouped,"[90,95)","0.1 (0.1, 0.1)",670881,sex,Rural
Female,age_category5,0.1,0.1,0.1,Grouped,"[95,100]","0.1 (0.1, 0.1)",670881,sex,Rural
Male,age_category5,4.5,4.5,4.6,Grouped,"[15,20)","4.5 (4.5, 4.6)",602665,sex,Rural
Male,age_category5,9.8,9.6,9.9,Grouped,"[20,25)","9.8 (9.6, 9.9)",602665,sex,Rural
Male,age_category5,10.4,10.3,10.5,Grouped,"[25,30)","10.4 (10.3, 10.5)",602665,sex,Rural
Male,age_category5,10.2,10.1,10.3,Grouped,"[30,35)","10.2 (10.1, 10.3)",602665,sex,Rural
Male,age_category5,11,10.9,11.1,Grouped,"[35,40)","11 (10.9, 11.1)",602665,sex,Rural
Male,age_category5,9.8,9.7,10,Grouped,"[40,45)","9.8 (9.7, 10)",602665,sex,Rural
Male,age_category5,9.7,9.5,9.8,Grouped,"[45,50)","9.7 (9.5, 9.8)",602665,sex,Rural
Male,age_category5,7.4,7.3,7.5,Grouped,"[50,55)","7.4 (7.3, 7.5)",602665,sex,Rural
Male,age_category5,6.6,6.5,6.7,Grouped,"[55,60)","6.6 (6.5, 6.7)",602665,sex,Rural
Male,age_category5,6.7,6.6,6.8,Grouped,"[60,65)","6.7 (6.6, 6.8)",602665,sex,Rural
Male,age_category5,6.3,6.2,6.4,Grouped,"[65,70)","6.3 (6.2, 6.4)",602665,sex,Rural
Male,age_category5,4.1,4,4.2,Grouped,"[70,75)","4.1 (4, 4.2)",602665,sex,Rural
Male,age_category5,1.8,1.8,1.9,Grouped,"[75,80)","1.8 (1.8, 1.9)",602665,sex,Rural
Male,age_category5,1.1,1,1.1,Grouped,"[80,85)","1.1 (1, 1.1)",602665,sex,Rural
Male,age_category5,0.4,0.4,0.5,Grouped,"[85,90)","0.4 (0.4, 0.5)",602665,sex,Rural
Male,age_category5,0.2,0.1,0.2,Grouped,"[90,95)","0.2 (0.1, 0.2)",602665,sex,Rural
Male,age_category5,0.1,0.1,0.1,Grouped,"[95,100]","0.1 (0.1, 0.1)",602665,sex,Rural
Female,age_category5,3.6,3.5,3.7,Grouped,"[15,20)","3.6 (3.5, 3.7)",218587,sex,Urban
Female,age_category5,8.9,8.7,9.1,Grouped,"[20,25)","8.9 (8.7, 9.1)",218587,sex,Urban
Female,age_category5,10.6,10.4,10.8,Grouped,"[25,30)","10.6 (10.4, 10.8)",218587,sex,Urban
Female,age_category5,10.8,10.6,11.1,Grouped,"[30,35)","10.8 (10.6, 11.1)",218587,sex,Urban
